AADFYear,CP,ONS GOR Name,ONS LA Name,Road,RCat,S Ref E,S Ref N,A-Junction,B-Junction,LenNet,LenNet_miles,FdPC,Fd2WMV,FdCar,FdBUS,FdLGV,FdHGVR2,FdHGVR3,FdHGVR4,FdHGVA3,FdHGVA5,FdHGVA6,FdHGV,FdAll_MV
2013,36704,East of England,Suffolk,A131,PR,586170,240210,LA Boundary,Middleton Rd,0.6,0.4,28,37,6710,45,1146,250,25,34,36,63,45,453,8391
2008,942052,East of England,Southend-on-Sea,U,UU,586189,185834,10,6,239,0,19,4,0,0,0,0,0,4,268,,,,
2013,46209,East of England,Essex,A12,TR,586200,217790,B1024,B1024S,4.5,2.8,1,231,40391,109,7946,1619,167,217,174,819,2571,5567,54244
2013,942036,East of England,Southend-on-Sea,C,CU,586230,185608,71,28,3488,20,427,9,2,1,0,0,0,12,3975,,,,
2013,17505,East of England,Suffolk,A134,PU,586350,263320,A1302 Southgate Green,Rougham Hill roundabout,0.5,0.3,136,167,19054,156,1995,384,85,45,61,230,198,1003,22375
2008,941140,East of England,Essex,B1024,BU,586383,219112,59,94,8538,99,1391,203,39,8,9,5,3,267,10389,,,,
2013,942048,East of England,Southend-on-Sea,U,UU,586386,187710,21,2,401,0,40,0,0,0,0,0,0,0,443,,,,
2013,77197,East of England,Norfolk,A1066,PR,586430,285000,Wyatt Way,A11(T),0.3,0.2,41,72,7476,63,1844,218,31,29,35,103,100,516,9971
2009,930616,East of England,Southend-on-Sea,U,UU,586440,186950,160,66,7062,99,985,44,1,1,1,0,0,47,8259,,,,
2013,945609,South East,Kent,U,UR,586459,128953,4,6,497,0,122,12,0,0,0,0,0,12,637,,,,
2013,28413,East of England,Suffolk,A131,PR,586475,242685,Gainsborough Road/Girling Street,A134,0.7,0.4,25,81,10195,155,1525,152,27,8,9,27,28,251,12207
2013,942169,East of England,Suffolk,U,UU,586490,245594,20,4,1752,24,226,12,0,0,0,0,0,12,2018,,,,
2013,77198,East of England,Norfolk,A134,PU,586500,283000,Bracken Rd,A11,2.4,1.5,21,23,6555,124,1485,249,62,34,11,67,138,561,8748
2013,6674,East of England,Suffolk,A134,PR,586520,280000,A143,LA Boundary,14.6,9.1,7,61,8338,77,1518,220,37,28,42,156,170,653,10647
2013,942093,East of England,Suffolk,B1064,BR,586620,246543,27,25,1617,21,202,30,1,1,1,0,1,34,1899,,,,
2013,73824,East of England,Norfolk,A134,PR,586640,281500,LA Boundary,Bracken Rd,1.3,0.8,7,61,8338,77,1518,220,37,28,42,156,170,653,10647
2013,18594,East of England,Norfolk,A1066,PU,586648,283909,Wyattt Way,A1075,2.1,1.3,45,79,8215,69,2026,240,34,32,38,113,110,567,10956
2013,77140,East of England,Suffolk,A134,PR,586650,263500,Rougham Hill roundabout,A14 Flyover,0.3,0.2,92,155,20666,122,2788,383,84,76,89,282,284,1198,24929
2013,942060,East of England,Southend-on-Sea,U,UU,586783,186015,138,16,1734,0,236,20,2,0,1,0,0,23,2009,,,,
2013,77196,East of England,Suffolk,A131,PU,586800,241000,Middleton Rd,A131 Gainsborough St,1,0.6,31,41,7448,50,1272,277,27,38,40,70,50,502,9313
2013,941168,East of England,Essex,C,CR,586919,220850,5,12,2679,7,552,43,0,0,3,0,0,46,3296,,,,
2013,99492,East of England,Southend-on-Sea,A127,PU,586920,187850,A1158,A1159,1.2,0.7,85,382,31066,106,6244,782,211,182,83,195,117,1570,39368
2009,931351,South East,East Sussex,U,UR,586980,112290,4,34,2778,18,369,63,6,6,0,0,0,75,3274,,,,
2013,942165,East of England,Suffolk,U,UU,586985,264983,8,8,546,0,67,3,0,0,0,0,0,3,624,,,,
2009,930917,East of England,Essex,U,UU,586990,191690,185,158,14706,173,2175,174,17,20,8,25,12,256,17468,,,,
2013,77194,East of England,Suffolk,A134,PR,587000,242940,Clermont Ave,A131 Melford Road,1.2,0.7,10,129,9932,36,1683,276,40,18,28,85,71,518,12298
2013,77195,East of England,Suffolk,A131,PU,587000,242250,Gainsborough Road/Girling Street,Chaucer Rd,1.1,0.7,28,90,11317,172,1693,168,30,9,10,30,31,278,13550
2009,943001,East of England,Suffolk,C651,CR,587002,269395,17,21,810,3,100,12,8,0,1,0,0,21,955,,,,
2009,931493,East of England,Norfolk,C587,CU,587030,283340,141,116,13041,128,1611,135,34,18,6,6,0,199,15095,,,,
2013,16658,East of England,Suffolk,A131,PU,587100,241500,Stour Street,Gainsborough Road/Girling Street,0.5,0.3,30,50,6403,115,1625,279,54,36,12,44,48,473,8666
2013,26690,East of England,Suffolk,A134,PR,587100,248000,A1092,A1141,9.1,5.7,6,28,6122,37,1365,267,44,42,32,90,89,564,8116
2013,941851,East of England,Norfolk,C116,CR,587173,307229,10,10,1345,8,217,35,4,6,3,0,1,49,1629,,,,
2009,930089,East of England,Essex,B1018,BR,587180,200290,6,84,6765,59,1229,241,34,45,9,34,23,386,8523,,,,
2009,990024,East of England,Suffolk,U,UU,587200,242000,27,0,549,0,73,5,0,0,0,0,0,5,627,,,,
2013,28190,East of England,Suffolk,A131,PU,587281,241271,A131 Gregory Street,A131/B1508 Great Eastern Road,0.5,0.3,47,115,8238,94,1579,145,32,16,10,25,15,243,10269
2013,941093,East of England,Essex,B1022,BR,587293,213792,11,40,6312,51,1182,125,46,7,25,17,21,241,7826,,,,
2013,46700,East of England,Suffolk,A131,PU,587400,241580,Gainsborough Road,B1508 Great Eastern Road,0.6,0.4,46,85,9764,117,1704,206,38,10,18,25,16,313,11983
2013,47575,East of England,Southend-on-Sea,A1159,PU,587400,188600,A127,Rochford Road roundabout,1.1,0.7,205,91,10333,73,1739,156,25,38,7,9,6,241,12477
2011,47575,East of England,Southend-on-Sea,A1159,PU,587400,188600,A127,Rochford Rd roundabout,1.1,0.68,220,85,10590,64,1654,153,21,29,13,11,6,233,12626
