Road,S Ref E,S Ref N,Score
C,288195,117058,-1
C,288346,178322,-1
C,290290,127000,-1
C,291093,139391,-1
C,297661,119969,-1
C,297728,189454,-1
C,298870,172667,-1
C,299031,351992,-1
C,300598,371344,-1
C,304677,177203,-1
C,305107,208984,-1
C,305155,235947,-1
C,305349,174427,-1
C,306140,377700,-1
C,306786,284920,-1
C,307085,97565,-1
C,307943,504072,-1
C,310579,138081,-1
C,311959,177021,-1
C,312787,170111,-1
C,314377,136231,-1
C,314652,310805,-1
C,315017,565972,-1
C,315300,137890,-1
C,317950,364760,-1
C,319000,500940,-1
C,319213,369119,-1
C,319817,135097,-1
C,320517,676996,-1
C,323649,359906,-1
C,323900,359350,-1
C,325724,248255,-1
C,325767,485693,-1
C,326050,133880,-1
C,327309,334413,-1
C,327497,353150,-1
C,327499,189466,-1
C,328183,215950,-1
C,330609,334926,-1
C,331199,406314,-1
C,331850,278390,-1
C,332276,110866,-1
C,333211,376966,-1
C,333509,402320,-1
C,334620,111309,-1
C,335630,533040,-1
C,335675,532700,-1
C,335946,146630,-1
C,336170,666000,-1
C,336810,137030,-1
C,336910,317810,-1
C,337282,136793,-1
C,337568,103349,-1
C,338389,298856,-1
C,338470,568526,-1
C,339521,337813,-1
C,339581,152673,-1
C,339875,436082,-1
C,340288,429221,-1
C,340800,191895,-1
C,341200,213200,-1
C,341682,114164,-1
C,342177,403064,-1
C,342688,255884,-1
C,345570,374982,-1
C,346388,413064,-1
C,347620,477010,-1
C,348195,130879,-1
C,348255,388064,-1
C,348438,162853,-1
C,348650,431060,-1
C,349970,352012,-1
C,350122,221243,-1
C,350299,347572,-1
C,350312,244078,-1
C,350930,133815,-1
C,351150,292320,-1
C,351828,174099,-1
C,353000,232000,-1
C,353792,274710,-1
C,354767,148340,-1
C,355420,822220,-1
C,355578,456424,-1
C,355870,419453,-1
C,356161,472600,-1
C,356431,206960,-1
C,358012,362705,-1
C,358174,339838,-1
C,359152,186410,-1
C,360624,127133,-1
C,361320,542980,-1
C,361588,305676,-1
C,362917,395306,-1
C,363402,421779,-1
C,363773,221947,-1
C,364700,248450,-1
C,367000,378450,-1
C,367600,378450,-1
C,368210,198730,-1
C,369087,221149,-1
C,369240,671190,-1
C,369854,158311,-1
C,370000,795800,-1
C,370600,755500,-1
C,370632,432308,-1
C,370763,128585,-1
C,371259,475418,-1
C,372710,169217,-1
C,373032,180800,-1
C,373461,456803,-1
C,374027,128589,-1
C,375152,230951,-1
C,375505,234871,-1
C,379523,160693,-1
C,380648,351685,-1
C,380911,368150,-1
C,381066,195754,-1
C,381446,379568,-1
C,381678,558597,-1
C,382505,242137,-1
C,383137,223081,-1
C,383200,211420,-1
C,383311,206645,-1
C,383350,179813,-1
C,383361,414673,-1
C,385110,861810,-1
C,386200,203800,-1
C,390585,127754,-1
C,390592,359990,-1
C,390678,366991,-1
C,390699,335245,-1
C,391272,129239,-1
C,391691,446003,-1
C,393171,273080,-1
C,396224,632077,-1
C,397575,373763,-1
C,398391,108988,-1
C,399589,504081,-1
C,400087,272594,-1
C,402411,390993,-1
C,403410,211240,-1
C,403686,331301,-1
C,403800,124200,-1
C,404633,380971,-1
C,408533,310283,-1
C,409420,486242,-1
C,409755,513303,-1
C,410050,411880,-1
C,411348,613924,-1
C,411881,470967,-1
C,413016,136249,-1
C,413168,612529,-1
C,413410,463645,-1
C,413880,111040,-1
C,414954,124920,-1
C,415738,118733,-1
C,416144,107667,-1
C,416380,264440,-1
C,416473,519737,-1
C,416537,247565,-1
C,417164,334960,-1
C,417239,552755,-1
C,417787,568771,-1
C,417875,107154,-1
C,419290,303593,-1
C,419979,275526,-1
C,420800,110400,-1
C,420940,119880,-1
C,422448,338035,-1
C,422464,265699,-1
C,423820,109572,-1
C,423927,370470,-1
C,424549,390827,-1
C,425143,293233,-1
C,425240,188720,-1
C,425997,401373,-1
C,428509,411325,-1
C,429388,127507,-1
C,429819,145194,-1
C,429952,287162,-1
C,430093,144299,-1
C,430675,144047,-1
C,430932,171666,-1
C,431599,144228,-1
C,433100,166000,-1
C,434074,371852,-1
C,434850,300025,-1
C,435473,140762,-1
C,436046,363996,-1
C,436560,118338,-1
C,437220,461953,-1
