Road,S Ref E,S Ref N,Score
A565,334210,390587,-0.91161658
A3021,450200,95550,-0.911220537
A863,126000,846750,-0.911116645
A890,190000,836960,-0.911116645
A674,368100,427820,-0.911022516
A189,427600,576330,-0.911007586
A832,225300,861600,-0.910680408
A1173,520251,414764,-0.91049446
A3029,356900,172240,-0.910428453
M54,369695,309462,-0.910154079
A82,238800,677000,-0.910058927
A470,302290,255260,-0.909952424
A76,287500,596100,-0.90973942
M74,263932,662490,-0.909647465
A701,311060,637200,-0.909589815
A470,301841,256423,-0.909579667
A470,301300,260000,-0.909473165
A493,260000,311000,-0.909262637
A72,307600,639100,-0.909262637
M77,252344,654189,-0.909140852
A86,275000,800400,-0.908887403
M74,263956,662403,-0.908731664
A85,255800,728400,-0.908621147
A847,128000,663250,-0.908281103
A5038,335310,394420,-0.908250221
A873,262600,700800,-0.908172043
A850,127000,847970,-0.908062984
A161,480000,420830,-0.907953925
A849,167900,739850,-0.907844865
A85,248800,727960,-0.907662628
A977,293880,687310,-0.907662628
A5091,339840,520000,-0.90708145
A5028,332000,391080,-0.907062094
A686,371595,547896,-0.906972391
A847,130000,662930,-0.906972391
A77,208000,561600,-0.90675736
A40,278816,234842,-0.906650858
A95,304600,826460,-0.906544355
A832,180400,877300,-0.906536153
M80,273704,673798,-0.906101172
M80,273932,673696,-0.906101172
A6089,360000,646690,-0.906099916
A87,145000,847800,-0.905905342
A1,351640,674630,-0.905745589
A470,295500,270049,-0.905639087
A47,407700,287300,-0.905411918
A388,236500,85030,-0.905118382
A850,134480,851100,-0.905118382
A847,126460,661000,-0.905009323
A95,291200,818200,-0.904840321
A957,380000,789310,-0.904573086
A359,360820,126700,-0.904136848
A7,337240,580800,-0.903935052
A483,310000,267742,-0.903722048
A77,200300,554500,-0.903700611
A851,167200,810000,-0.903700611
A716,210900,546500,-0.903591552
A93,321200,791500,-0.903591552
A590,318000,467700,-0.903431707
A712,263700,578000,-0.903264374
A494,311460,354381,-0.903083035
A82,215700,757150,-0.903083035
A6105,399250,653620,-0.902969658
A488,320000,268100,-0.902828136
M8,258232,665400,-0.902827671
A9,314650,962200,-0.90281678
A82,251300,826100,-0.902763529
A87,179900,827760,-0.902603775
A7,349200,614000,-0.902390771
A2205,533270,179600,-0.902375595
A821,257700,706100,-0.90228284
A77,218500,597200,-0.902177767
A4120,260000,279500,-0.90217378
A5074,344880,490000,-0.901955662
A1089,564346,175547,-0.901913545
A470,318210,176300,-0.901913545
A68,368900,608300,-0.90185826
A69,410790,566590,-0.901645256
A746,243650,547000,-0.901628484
A488,324200,269958,-0.901519424
A498,259360,345000,-0.901519424
B1032,618220,215440,-0.901461002
B109,541350,184700,-0.901461002
B114,536320,184651,-0.901461002
B126,534216,180878,-0.901461002
B126,534860,180930,-0.901461002
B1260,435170,549397,-0.901461002
B138,531267,188984,-0.901461002
B175,550680,190380,-0.901461002
B2033,517190,156150,-0.901461002
B2034,526700,150060,-0.901461002
B2038,517620,150170,-0.901461002
B213,546834,178634,-0.901461002
B213,547825,178936,-0.901461002
B2220,522118,154418,-0.901461002
B243,532900,164350,-0.901461002
B3001,485672,146221,-0.901461002
B3059,412630,91845,-0.901461002
B3404,449272,129436,-0.901461002
B4008,383190,204850,-0.901461002
B4054,354668,177031,-0.901461002
B4081,415223,239246,-0.901461002
B4153,404763,303301,-0.901461002
B4242,287146,206078,-0.901461002
B4246,326353,205360,-0.901461002
B4251,318174,196062,-0.901461002
B4308,241346,206490,-0.901461002
B4494,440048,187604,-0.901461002
B5083,375021,379058,-0.901461002
B5097,328770,345241,-0.901461002
B5132,336093,380080,-0.901461002
B5162,376968,386197,-0.901461002
B5162,377582,386048,-0.901461002
B5257,354404,425827,-0.901461002
B5323,485337,278995,-0.901461002
B6102,396313,389045,-0.901461002
B6194,392555,409830,-0.901461002
B6209,375316,407546,-0.901461002
B6266,389820,413420,-0.901461002
B6287,428480,532636,-0.901461002
A835,241800,858980,-0.901219247
A95,290100,815250,-0.901006243
A7,339100,574800,-0.900793239
A522,407950,334630,-0.900756009
A5046,333800,390420,-0.900725419
A82,230000,737750,-0.900420481
A577,367066,403100,-0.900395384
A577,367400,403124,-0.900395384
A5055,333900,393120,-0.900131356
A4080,235000,370000,-0.900101653
A38,437010,344190,-0.899994473
A4059,295000,211230,-0.899883534
A4059,298803,218101,-0.899883534
A819,210100,720000,-0.899883534
A984,307200,740500,-0.899774475
A548,290000,369900,-0.899338238
A4093,292200,187860,-0.899229178
A87,160000,826680,-0.899035953
A82,231700,715500,-0.898929451
A701,307500,606600,-0.898902
A5,231750,378400,-0.898574822
A487,215400,240000,-0.898503442
A684,380000,492560,-0.898356704
A708,345900,628600,-0.898356704
A920,335800,840000,-0.898356704
A920,345000,840510,-0.898356704
A72,306000,638770,-0.897920466
A44,270000,280897,-0.89791768
A5,300000,344440,-0.897757927
A5,303740,343535,-0.897757927
A250,592000,174890,-0.897161039
A5,235500,377420,-0.897157051
A5038,334507,390829,-0.897029025
A832,181070,875000,-0.896938932
A970,439260,1115000,-0.896829873
A823,301400,700000,-0.896284576
A4085,257540,350000,-0.896175517
A475,240000,242650,-0.895957398
A711,282460,560000,-0.89573928
A684,428250,489390,-0.895521161
A686,380000,559140,-0.895521161
A97,363240,855000,-0.895521161
A971,433200,1152250,-0.895521161
A3,487962,134784,-0.895468131
A3,488019,134762,-0.895468131
A3,488174,134955,-0.895468131
A3,488203,134904,-0.895468131
A95,294200,819920,-0.895308378
A5084,328800,490000,-0.894757746
A385,272200,60590,-0.894669365
M8,300150,667480,-0.894565977
A1158,586100,187950,-0.89445475
A940,300900,850000,-0.894212449
A199,364100,677660,-0.894083603
A87,169600,824300,-0.894083603
A87,147700,842000,-0.893923849
A893,213000,894000,-0.893923849
A14,628400,234250,-0.893790231
A75,230061,561379,-0.893551092
A835,250000,854800,-0.893551092
A832,250000,853300,-0.893339974
A70,272000,628260,-0.892794678
A70,282600,629300,-0.892794678
A859,134470,922400,-0.892794678
C,182970,62653,-0.892530807
C,194192,214796,-0.892530807
C,247675,662610,-0.892530807
C,261716,212001,-0.892530807
C,285252,71706,-0.892530807
C,285691,190938,-0.892530807
C,304575,667804,-0.892530807
C,305000,207000,-0.892530807
C,314075,175662,-0.892530807
C,314713,181184,-0.892530807
C,318370,182799,-0.892530807
C,326925,351908,-0.892530807
C,327957,202617,-0.892530807
C,331207,411759,-0.892530807
C,332010,436746,-0.892530807
C,336116,400002,-0.892530807
C,338670,375360,-0.892530807
C,340800,408711,-0.892530807
C,344584,390739,-0.892530807
C,347016,162717,-0.892530807
C,349549,168941,-0.892530807
C,349723,425511,-0.892530807
C,351872,430076,-0.892530807
C,352694,403098,-0.892530807
C,354915,115908,-0.892530807
C,358756,174504,-0.892530807
C,359996,168081,-0.892530807
C,367255,306991,-0.892530807
C,367855,308668,-0.892530807
C,375449,199009,-0.892530807
C,375833,162244,-0.892530807
C,376063,377230,-0.892530807
C,378150,387188,-0.892530807
C,378725,356445,-0.892530807
C,379208,390687,-0.892530807
C,382174,346252,-0.892530807
C,383040,205450,-0.892530807
C,388023,406968,-0.892530807
C,388468,439617,-0.892530807
C,389139,397668,-0.892530807
C,390700,353724,-0.892530807
C,392043,284166,-0.892530807
C,393000,294000,-0.892530807
C,406617,293514,-0.892530807
C,413202,130628,-0.892530807
C,414221,291371,-0.892530807
C,415510,564590,-0.892530807
C,416907,433376,-0.892530807
C,420112,192458,-0.892530807
C,420115,422678,-0.892530807
C,420310,420111,-0.892530807
C,422694,428724,-0.892530807
C,423501,426005,-0.892530807
C,423630,421875,-0.892530807
C,425568,567541,-0.892530807
C,427520,560510,-0.892530807
C,427579,280218,-0.892530807
C,430067,334963,-0.892530807
C,432489,276018,-0.892530807
C,433298,432837,-0.892530807
C,433530,550330,-0.892530807
C,434753,339723,-0.892530807
C,435201,209984,-0.892530807
C,436056,437920,-0.892530807
C,436257,407902,-0.892530807
C,436283,144801,-0.892530807
C,436805,367671,-0.892530807
C,436970,145340,-0.892530807
C,445364,390558,-0.892530807
C,445529,352878,-0.892530807
C,458335,238459,-0.892530807
C,459502,177092,-0.892530807
C,470340,176500,-0.892530807
C,473612,154680,-0.892530807
C,480937,160516,-0.892530807
C,481389,266874,-0.892530807
C,484306,235624,-0.892530807
C,487658,231459,-0.892530807
C,497040,145380,-0.892530807
C,498230,174783,-0.892530807
C,502600,195933,-0.892530807
C,512236,108773,-0.892530807
C,512712,222387,-0.892530807
C,516940,172681,-0.892530807
C,516983,149194,-0.892530807
C,519209,189833,-0.892530807
C,520820,169272,-0.892530807
C,521480,174332,-0.892530807
C,522495,185028,-0.892530807
C,523728,105441,-0.892530807
C,524110,172730,-0.892530807
C,525180,170850,-0.892530807
C,526048,197862,-0.892530807
C,527870,169171,-0.892530807
C,529764,270140,-0.892530807
C,530552,158183,-0.892530807
C,531772,184455,-0.892530807
C,531890,119340,-0.892530807
C,532565,159993,-0.892530807
C,532622,324170,-0.892530807
C,532947,187761,-0.892530807
C,533187,388889,-0.892530807
C,535070,180250,-0.892530807
C,535647,202578,-0.892530807
C,537123,274737,-0.892530807
C,538446,177443,-0.892530807
C,538931,167514,-0.892530807
C,542134,262272,-0.892530807
C,554357,166784,-0.892530807
C,556210,168493,-0.892530807
C,570323,202767,-0.892530807
C,576815,151317,-0.892530807
C,580021,166088,-0.892530807
C,581486,110699,-0.892530807
C,591802,265068,-0.892530807
C,591922,265123,-0.892530807
C,621706,307376,-0.892530807
C,626575,248674,-0.892530807
C,629761,169988,-0.892530807
C,654186,293927,-0.892530807
C184,619446,305655,-0.892530807
C189,254100,57000,-0.892530807
C290,429878,360782,-0.892530807
C635,631456,336086,-0.892530807
C802,620760,308920,-0.892530807
C97,440449,107547,-0.892530807
U11500,379819,272502,-0.892530807
A3072,245000,104420,-0.8924675
A82,232120,720000,-0.892219815
A819,213500,727200,-0.892031262
A9,311000,968800,-0.891847057
A506,340890,403000,-0.891813144
A755,265000,551400,-0.891704084
A800,297060,669100,-0.891550441
A6008,457850,339940,-0.891484434
A40,530420,181550,-0.891154399
M77,252264,653871,-0.891058654
A85,185820,730250,-0.891048291
A4086,260000,358700,-0.890940669
A827,257050,734000,-0.890940669
A836,260000,890345,-0.890940669
A39,276000,149310,-0.890395373
A39,280000,148180,-0.890395373
A6112,380000,650300,-0.890068195
A30,203240,63082,-0.890036521
A30,203303,63027,-0.890036521
M876,284500,683300,-0.889694695
A950,390100,853310,-0.889522898
A6075,473890,370750,-0.889413839
A97,366300,860000,-0.889413839
A714,238100,570000,-0.889304779
A487,259000,280250,-0.889204791
A95,300000,824460,-0.889078001
A942,347500,868200,-0.888977601
A487,275000,313250,-0.888918248
A944,350000,818050,-0.888759483
A93,332200,796930,-0.888650423
A4212,283000,340000,-0.888432305
A970,439500,1116480,-0.888432305
A44,278000,282020,-0.888225984
A44,280000,284069,-0.888225984
A827,282200,748300,-0.887996067
A374,243975,55210,-0.887656026
A400,529500,186570,-0.887656026
A961,347740,998000,-0.88755983
A766,321000,659680,-0.887014533
A714,243100,554900,-0.886905474
A816,184500,701600,-0.886687355
A97,350420,828300,-0.886578296
A986,330800,1019000,-0.886469237
A713,249300,604200,-0.886360177
A61,442530,484600,-0.886095941
A75,236000,563150,-0.886095941
A823,290200,713200,-0.885814881
A529,367650,334400,-0.885807829
A494,290000,333200,-0.885510179
M6Toll,413140,304620,-0.885330027
M6(T),413140,304620,-0.885252086
A511,420100,331450,-0.885243924
A5051,334300,390680,-0.885213766
A4069,271038,228377,-0.885051465
A90,399750,866000,-0.88395309
A835,247600,855000,-0.883859395
A1,516750,257950,-0.883806144
A1,483990,343580,-0.88359314
A75,249400,554270,-0.883433387
A3,463000,99350,-0.883167547
M74,259604,662829,-0.883167178
A815,212200,707550,-0.883088397
A1173,515000,403940,-0.882761219
M54,369793,309536,-0.882485198
A489,280000,303473,-0.882261863
A595,315000,484500,-0.881888745
M54,369680,309450,-0.881881159
A815,214450,686700,-0.881670626
A836,260450,892800,-0.881343448
A489,311500,291380,-0.880857301
A485,267900,260000,-0.880798151
A272,526600,122570,-0.88061108
A272,526660,122280,-0.88061108
A160,517500,416700,-0.880593273
A3058,188450,56478,-0.880361914
A470,300000,294800,-0.880185071
A82,238850,677410,-0.879918816
A479,313849,237489,-0.879492807
A126,561400,177840,-0.879405146
A710,297680,564900,-0.879271321
A480,335000,253100,-0.878835083
A56,379000,422020,-0.878740581
A470,311747,235000,-0.878694041
A7,336825,584000,-0.878694041
A68,365100,619200,-0.87864079
A928,337780,750100,-0.878616965
A713,265000,575500,-0.878398846
A685,361040,500000,-0.878180727
A470,300020,262460,-0.87816153
A702,310000,646100,-0.87816153
A83,223400,707310,-0.877522517
A40,290000,229321,-0.877149759
A4080,240000,369270,-0.876981075
A97,368850,864470,-0.876872016
A475,230880,240700,-0.876762956
A475,235000,241400,-0.876762956
A85,260000,723900,-0.876544838
A591,320000,536380,-0.876326719
A40,194750,236750,-0.876031487
A427,492880,289700,-0.875642745
A5,302700,343770,-0.875552227
A90,410600,847010,-0.875552227
A488,315000,266657,-0.875236126
A640,405000,415200,-0.875236126
A9,277800,894300,-0.874274201
A4,375010,165130,-0.874256598
A7,338713,573654,-0.874061197
A981,395980,859500,-0.874036473
A3039,375040,165110,-0.87399257
M45,449660,270680,-0.873794832
M45,455407,270921,-0.873794832
A851,170200,813400,-0.873709295
A938,295000,825140,-0.873382117
A396,293540,125000,-0.873163998
M8,257957,665240,-0.873054397
M74,258250,664245,-0.872898516
A707,345400,633400,-0.87283682
A9,290000,903500,-0.872570167
A543,300152,364141,-0.872291524
A75,220000,557110,-0.87225066
A483,262718,220233,-0.872197409
A85,270000,724160,-0.872182464
A39,260000,140400,-0.871964346
A1077,507600,420000,-0.871855286
M80,266267,669661,-0.87124228
A487,200000,237900,-0.870173868
A487,216060,243560,-0.870173868
A487,217710,244870,-0.870173868
M74,262551,661834,-0.870092657
A5032,340220,377340,-0.869768119
A5,275000,357540,-0.869694608
A84,257100,714500,-0.869694608
A746,242400,551100,-0.869455981
A73,297000,632100,-0.869128803
M74,259630,662881,-0.869098916
A438,380000,234908,-0.869019744
A4079,315000,237654,-0.868801625
M80,266300,669583,-0.868631273
A6,384550,398040,-0.868579993
A303,446230,141900,-0.868523085
A83,182290,662000,-0.868474447
M80,266450,669900,-0.86812466
A487,216000,243440,-0.868043825
A487,217900,245000,-0.868043825
A6006,464520,322800,-0.867820091
A396,293870,140000,-0.867601972
A697,380000,641600,-0.867492913
A487,198995,237573,-0.867404812
M77,252392,654175,-0.867247829
A377,265000,118075,-0.866947616
A3039,375085,164955,-0.86686381
A44,299880,268144,-0.866838557
A82,229200,796900,-0.866712548
A40,366600,221330,-0.866659297
A40,370000,220000,-0.866659297
A697,366400,646730,-0.86640232
A670,400000,407940,-0.86629326
A90,399700,866700,-0.866160015
A420,451400,206000,-0.866005718
A70,306000,658850,-0.865747964
A70,313550,666000,-0.865747964
A487,194020,236989,-0.865529845
A5,287000,351460,-0.865168267
A939,297100,842000,-0.865093608
A75,260000,554650,-0.864689007
A865,79900,846600,-0.863893955
A82,208000,758450,-0.863730487
A26,544900,101850,-0.863338205
A68,334000,666900,-0.863259822
A44,315700,259954,-0.86302148
A980,360000,803490,-0.86302148
A6108,411300,500000,-0.862367125
A9,310400,969200,-0.862239457
M6,349420,464300,-0.86208427
A1,418150,588550,-0.862026453
A93,335000,797100,-0.861930887
A470,272000,320000,-0.861919951
A836,258100,906200,-0.861712769
A719,228100,617640,-0.86149465
A303,401100,138060,-0.861227687
A65,351670,491930,-0.861187205
A701,307400,596500,-0.861121184
A984,310000,740550,-0.861058413
A231,575590,168030,-0.86085717
A6055,427976,490535,-0.860748427
A6055,428206,490595,-0.860748427
A4061,295830,196500,-0.860659148
A3031,527673,176587,-0.860593141
A6089,368500,637200,-0.860185938
A591,337600,504260,-0.85985876
A470,270000,346000,-0.859523652
A525,370000,343020,-0.859422523
A525,372000,342660,-0.859422523
A542,319354,349898,-0.859422523
A940,302060,854900,-0.858986285
A719,224000,609480,-0.858877226
A420,451300,205790,-0.858810951
A387,221250,52000,-0.858768167
A920,370000,832900,-0.858659107
A2214,531240,174700,-0.858282895
A487,190000,233070,-0.858004751
A586,331130,436500,-0.857688832
A4113,345000,276030,-0.857677573
A4113,346000,276550,-0.857677573
A483,262560,213000,-0.857577011
A938,292000,823573,-0.857350395
A470,293090,280000,-0.857340358
A77,249410,648500,-0.857023217
A77,251500,652400,-0.857023217
A97,357200,842000,-0.857023217
A490,324905,299613,-0.856914158
A1,420290,562350,-0.856871559
A4103,345900,242000,-0.856805099
A948,390800,844200,-0.856805099
A5074,340391,495946,-0.856696039
A704,297160,660100,-0.856477921
A1141,595000,247450,-0.856368861
A823,301700,699450,-0.856368861
A40,300000,229290,-0.856115583
A4077,324630,214580,-0.856041683
A975,410550,837800,-0.855932624
A823,300520,701590,-0.855714505
A896,190000,839700,-0.855714505
M55,335000,433500,-0.855533996
A941,333000,839860,-0.855496387
A970,440000,1163790,-0.855496387
A702,293300,624000,-0.855060149
A479,315000,234539,-0.854731055
A2205,533234,179340,-0.854652508
A6,383630,398610,-0.854520494
A6,383704,398570,-0.854520494
A5,225300,381740,-0.854454487
M74,258098,664261,-0.8544461
A917,359700,706120,-0.854405793
A77,206400,560400,-0.85438848
A338,427000,160600,-0.854187675
A525,326620,353180,-0.854187675
A6112,379000,655000,-0.854078615
A917,361000,707370,-0.854078615
A5026,313860,376910,-0.853860497
A470,319000,175130,-0.85372841
A1089,563620,180670,-0.853399778
A3122,278000,53160,-0.8533152
A6108,431500,471940,-0.853200353
A702,296610,629600,-0.853080271
A5046,334520,390920,-0.853068339
A82,260000,838400,-0.852973769
A458,320000,306900,-0.852867267
A713,262900,580000,-0.852769903
A30,135000,25029,-0.852551785
A823,294800,705300,-0.852551785
A470,272000,317980,-0.852441259
A466,350000,217600,-0.852224607
B1074,653876,294167,-0.852191504
B1082,630000,234200,-0.852191504
B1301,438720,565210,-0.852191504
B1420,570660,183800,-0.852191504
B1502,536599,211785,-0.852191504
B165,542580,184730,-0.852191504
B198,545831,309567,-0.852191504
B2068,615844,156498,-0.852191504
B2176,556011,143450,-0.852191504
B242,529283,172280,-0.852191504
B283,525248,161687,-0.852191504
B3001,484817,146530,-0.852191504
B3111,374270,164020,-0.852191504
B3121,503544,164077,-0.852191504
B4086,434120,250918,-0.852191504
B4146,412091,283380,-0.852191504
B4182,400419,287987,-0.852191504
B4187,390656,282921,-0.852191504
B4275,303700,199400,-0.852191504
B4294,312030,168230,-0.852191504
B4544,433882,279388,-0.852191504
B4562,318851,182606,-0.852191504
B4595,306023,185061,-0.852191504
B4620,258360,197980,-0.852191504
B5178,348882,386287,-0.852191504
B5218,382190,395044,-0.852191504
B6109,408056,413758,-0.852191504
B6195,391494,407446,-0.852191504
A168,437090,473020,-0.852068501
A5,456990,273192,-0.851855497
A857,136560,950900,-0.85167931
A495,320000,317600,-0.851570251
A6177,416000,434830,-0.85148417
A85,200000,731200,-0.851376237
A1107,392400,664700,-0.851134013
A198,359760,683900,-0.850479657
A3039,375070,165050,-0.850428058
A6,383750,398730,-0.850230037
A66,445800,518130,-0.850208954
A6105,398581,654000,-0.849934361
A640,393750,411610,-0.849437952
A98,389500,859600,-0.849389064
A62,384470,398320,-0.849107917
A62,384620,398500,-0.849107917
A634,462700,386600,-0.848952827
A399,260000,145300,-0.848843767
A438,375496,236638,-0.848843767
A438,377000,236530,-0.848843767
A699,366700,631100,-0.848843767
A259,561330,98850,-0.848777882
A387,228400,58000,-0.848734708
A832,260900,852470,-0.848734708
A1141,599850,245800,-0.848625649
A4212,280000,338430,-0.848298471
A917,348300,701500,-0.848189412
A345,413158,154567,-0.848080352
A379,290000,53450,-0.847971293
A3072,290000,105300,-0.847753174
A4118,250000,188505,-0.847753174
A938,300000,824900,-0.847207878
A388,235000,84450,-0.8468807
A904,301870,680600,-0.84677164
A44,259000,281630,-0.846720884
A84,262000,708100,-0.846636891
A5039,334208,390424,-0.84659965
A827,255700,731210,-0.846553522
A70,300000,647900,-0.846444462
A702,307340,641600,-0.846370635
A687,362300,472800,-0.846335403
A687,365000,472200,-0.846335403
A882,320600,956300,-0.846335403
A40,270000,230600,-0.846317384
A1053,455200,522000,-0.846269615
A494,306600,344000,-0.846264133
A490,324860,300000,-0.846117284
A592,339940,514510,-0.845571988
A81,263300,706300,-0.845571988
A948,393640,840000,-0.845462928
A27,470008,105754,-0.84509261
A487,240753,255000,-0.844986107
A3072,250000,103740,-0.844808572
A83,170600,622100,-0.844808572
A570,341620,408000,-0.844761294
A4113,339273,272785,-0.844699513
A686,359996,536822,-0.844590454
A1,489950,334020,-0.844453597
A1,490000,334350,-0.844453597
A5046,334700,390950,-0.84415739
A735,240900,650000,-0.844045157
A30,325000,107972,-0.843390801
A682,386250,440000,-0.843299298
A6,384400,398480,-0.843167284
A5058,333700,394550,-0.843101277
A5087,329000,478200,-0.843101277
A1139,519760,295940,-0.842954564
A470,275000,318370,-0.842749562
A961,345050,1008000,-0.842736445
A964,344200,1010000,-0.842736445
A950,395000,849200,-0.842627386
A489,325000,293258,-0.842518326
A5,311703,343284,-0.842483307
A570,341700,408000,-0.842409786
A487,266590,293700,-0.842323553
A6046,386000,410710,-0.842309193
A1103,505000,391140,-0.842300208
A5074,340230,495970,-0.842082089
A588,335000,439320,-0.84191315
A846,133640,662200,-0.841754911
M62,392739,411546,-0.84137158
A816,183000,697600,-0.841100555
A1200,532700,182820,-0.840659017
A187,433106,566319,-0.840527003
A487,258350,281450,-0.840489388
A493,270000,318530,-0.84033714
A4080,232000,373000,-0.84022808
A938,299800,824600,-0.84022808
A800,296000,670000,-0.840009962
A702,293490,626040,-0.839874004
A75,265400,554370,-0.839820753
A2214,531270,174620,-0.839800925
A77,204800,555440,-0.839791843
A106,538400,186300,-0.839668911
A496,265900,340000,-0.839573724
A14,613331,247566,-0.839394744
A14,613384,247852,-0.839394744
A3055,450000,76250,-0.839355606
A193,435320,572530,-0.839074848
A6124,335900,669900,-0.838919368
A6124,337200,667740,-0.838919368
A68,390000,585850,-0.838919368
A470,306600,250000,-0.838862233
M621,423654,428000,-0.838487781
A93,316300,750000,-0.838265012
A926,325500,747800,-0.838155953
M6,349800,464100,-0.838098079
A249,590899,173000,-0.838059497
A490,327080,294700,-0.837937834
A1018,439850,556820,-0.837886721
M8,257909,665335,-0.837805802
A1120,630000,267440,-0.837719716
A6042,383840,398270,-0.837622693
A1139,519760,296000,-0.837610656
A3079,244300,100000,-0.837392538
A697,390000,638620,-0.837283478
A40,366000,221760,-0.837051697
A497,230550,340000,-0.836847241
A5093,315000,480300,-0.836629122
A937,370900,770400,-0.836629122
A882,332500,951270,-0.836520063
A529,366100,340126,-0.836411004
A2205,533160,180000,-0.836368559
A484,236656,240001,-0.836301944
A529,365660,342600,-0.836192885
A1211,533650,181000,-0.836038524
A6105,366800,643870,-0.835865707
A484,237595,231283,-0.83532041
A6105,360000,640400,-0.834993232
A480,340000,246770,-0.834884173
A891,260800,679020,-0.834884173
A4081,305460,262000,-0.834775114
A38,441990,355150,-0.834655398
A38,442020,354890,-0.834548896
A465,335000,223660,-0.834495645
A487,180089,227871,-0.834011698
A934,365000,755550,-0.83379358
B1029,605234,232464,-0.833698276
B1038,541500,230300,-0.833698276
B1057,566128,228725,-0.833698276
B1057,568490,236960,-0.833698276
B1077,584115,305922,-0.833698276
B1077,618800,260949,-0.833698276
B1090,525957,276033,-0.833698276
B1104,563109,276361,-0.833698276
B1127,649288,282816,-0.833698276
B1135,604021,306202,-0.833698276
B1159,635937,332912,-0.833698276
B1176,501200,323000,-0.833698276
B1192,528075,342452,-0.833698276
B1200,546128,392083,-0.833698276
B1229,522460,470490,-0.833698276
B1242,522622,443223,-0.833698276
B1339,422901,622076,-0.833698276
B1416,489679,504389,-0.833698276
B1417,568406,218581,-0.833698276
B1443,504645,306898,-0.833698276
B1443,526695,305219,-0.833698276
B1447,494924,505595,-0.833698276
B1449,547829,376227,-0.833698276
B158,527100,206900,-0.833698276
B2052,639621,170466,-0.833698276
B2067,591615,134035,-0.833698276
B2177,465223,106420,-0.833698276
B2205,614835,167196,-0.833698276
B228,549540,167155,-0.833698276
B255,559325,171365,-0.833698276
B262,561010,171780,-0.833698276
B3024,480712,176328,-0.833698276
B3075,391530,93169,-0.833698276
B3078,419388,116467,-0.833698276
B3083,407150,139180,-0.833698276
B3087,421171,161116,-0.833698276
B3098,403047,156262,-0.833698276
B3110,377298,156211,-0.833698276
B3135,349600,153300,-0.833698276
B3146,369407,106749,-0.833698276
B3162,333638,107020,-0.833698276
B3163,346770,101680,-0.833698276
B3190,300900,132603,-0.833698276
B3193,283410,87303,-0.833698276
B3212,267922,81558,-0.833698276
B3229,261850,143334,-0.833698276
B3267,200345,80347,-0.833698276
B3306,136909,32784,-0.833698276
B3306,137128,30028,-0.833698276
B3306,141223,35984,-0.833698276
B3357,260010,75040,-0.833698276
B367,503952,158595,-0.833698276
B4016,452580,193217,-0.833698276
B4016,453190,192584,-0.833698276
B4027,443211,220955,-0.833698276
B4035,439556,237501,-0.833698276
B4039,380927,180939,-0.833698276
B4196,380011,267325,-0.833698276
B4203,366250,255375,-0.833698276
B4245,340029,189044,-0.833698276
B4387,336227,307278,-0.833698276
B4434,276900,198600,-0.833698276
B4499,336969,304834,-0.833698276
B4520,303137,233971,-0.833698276
B4562,322300,182300,-0.833698276
B4577,255100,264370,-0.833698276
B477,479630,178000,-0.833698276
B480,469800,192500,-0.833698276
B480,474532,184533,-0.833698276
B5002,433276,311474,-0.833698276
B5014,408000,317925,-0.833698276
B5071,369156,350345,-0.833698276
B5135,328349,379766,-0.833698276
B5136,329935,379619,-0.833698276
B526,481265,254767,-0.833698276
B5289,315633,524359,-0.833698276
B5292,322458,524335,-0.833698276
B5302,324323,548062,-0.833698276
B5444,266446,194880,-0.833698276
B6036,435898,362083,-0.833698276
B6050,430760,373243,-0.833698276
B6054,431732,377605,-0.833698276
B6077,427100,392200,-0.833698276
B6106,415479,405210,-0.833698276
B6107,411144,409860,-0.833698276
B6160,404920,458714,-0.833698276
B6209,374768,407952,-0.833698276
B6214,378203,420923,-0.833698276
B6276,383229,520055,-0.833698276
B6318,351890,571270,-0.833698276
B6345,421882,600837,-0.833698276
B6350,377237,636513,-0.833698276
B6358,359933,619784,-0.833698276
B6412,361029,529263,-0.833698276
B6413,353435,560791,-0.833698276
B6422,450780,407380,-0.833698276
B6479,377041,478969,-0.833698276
B651,518860,220948,-0.833698276
B660,512400,284200,-0.833698276
B7068,335900,584450,-0.833698276
B725,311132,573779,-0.833698276
B751,241253,641253,-0.833698276
B846,269460,758920,-0.833698276
B9052,348500,1001400,-0.833698276
A539,340460,340180,-0.833684521
A3123,260000,144090,-0.833357343
A6118,507340,299500,-0.833248283
A6118,507550,299040,-0.833248283
A19,445160,521800,-0.832846988
A543,304179,365967,-0.832702987
A721,299700,645900,-0.832702987
A40,253110,221550,-0.832365602
A47,628650,308490,-0.832046095
A47,628750,308450,-0.832046095
M57,345270,392730,-0.831999234
A1202,533265,182510,-0.831946088
A70,261700,623300,-0.831939571
A971,439300,1146640,-0.831721453
A145,644340,280000,-0.831503334
A259,593900,122450,-0.831353831
A6,355480,520000,-0.831285215
A3124,267160,98000,-0.830958037
A199,364740,677610,-0.830874571
A873,268400,699600,-0.830848978
A4086,266140,355930,-0.830630859
A4086,270000,357300,-0.830630859
A338,439490,184870,-0.830194622
A4144,450850,206260,-0.830163898
A14,612940,245160,-0.830129056
A44,319786,259837,-0.829867444
A534,364800,352420,-0.829635842
A1111,550070,380000,-0.829213088
A916,335660,703500,-0.828776851
A4241,274325,191335,-0.828711743
A541,306768,370004,-0.828558732
