Road,S Ref E,S Ref N,FdCar,Score
A87,190000,823900,1559,0.158300989
A4076,190026,206051,13399,1.360535566
A39,191008,61045,9737,0.988695784
A828,191100,734600,4637,0.470841363
A39,191300,59746,10078,1.023320952
A4076,191790,208500,7223,0.733424016
A832,191800,870280,384,0.038991392
A4219,193581,234705,612,0.062142531
A4076,193910,212673,13088,1.328956601
A487,194020,236989,1281,0.130072846
A40,194270,230000,4936,0.501201848
A841,194300,649800,259,0.026298881
A40,194430,235700,4779,0.485260055
A39,194601,70069,6434,0.653308891
A487,194740,214900,12538,1.273109555
A40,194750,236750,2718,0.275985944
A40,194770,237900,6604,0.670570705
A487,194960,215430,8986,0.912439182
A477,194975,206967,9855,1.000677514
A389,195000,71510,4682,0.475410667
A3058,195000,52988,5862,0.595227964
A487,195000,237520,4498,0.456727291
A4076,195063,214645,16003,1.624945942
A487,195150,215790,11951,1.213505527
A40,195300,236670,4161,0.422508284
A40,195365,219024,7271,0.73829794
A487,195398,216001,17898,1.817364398
A40,195554,215900,21155,2.148080447
A40,195600,216350,12338,1.252801539
A30,195846,61500,16256,1.650635582
A40,195930,217000,11844,1.202640738
A40,196000,215850,12040,1.222542594
A828,196230,741820,1974,0.200440123
A40,196329,217065,6282,0.637874799
A4139,196500,203690,5421,0.550448788
A4139,197050,203740,11483,1.165984768
A39,197100,72497,9221,0.936301101
A830,197500,779200,1342,0.136266791
A477,197703,203517,14712,1.493857695
A4139,197800,203300,9867,1.001895995
A83,197900,696300,1858,0.188661473
A4139,198255,202074,12641,1.283568184
A4139,198330,201400,6470,0.656964334
A4139,198593,201398,6914,0.702048131
A4139,198600,201250,7815,0.793535745
A487,198995,237573,2880,0.292435438
A828,199500,755500,1499,0.152208584
A886,199660,683500,259,0.026298881
A4075,199679,201601,2601,0.264105755
A40,200000,215815,10915,1.108310001
A896,200000,858000,180,0.018277215
A861,200000,762900,627,0.063665632
A477,200000,202950,7049,0.715756042
A85,200000,731200,3181,0.322999003
A390,200000,51732,11950,1.213403987
A4139,200016,200938,3510,0.35640569
A77,200300,554500,931,0.094533817
A8003,200400,680000,396,0.040209873
A3058,200500,52270,6507,0.660721317
A390,200900,52062,17405,1.767305137
A886,201000,682200,557,0.056557826
A841,201000,636600,1854,0.188255313
A886,201600,680000,387,0.039296012
A841,201850,633600,2371,0.240751536
A832,201900,891650,505,0.051277742
A390,202000,51940,21278,2.160569877
A391,202087,60000,5555,0.564055159
A82,202500,761500,5896,0.598680327
A30,202825,62950,1635,0.166018035
A30,202885,62930,16256,1.650635582
A30,202888,62902,1635,0.166018035
A391,203000,54020,7088,0.719716105
A718,203160,568200,549,0.055745505
A30,203230,63058,24419,2.479507277
A30,203240,63082,2455,0.249280903
A30,203303,63027,2455,0.249280903
A390,203500,52420,16154,1.640278494
A718,203640,562800,2422,0.24593008
A390,204050,52619,15239,1.547369318
A844,204200,665000,179,0.018175675
A477,204238,203139,9656,0.980471037
A844,204500,659700,61,0.006193945
A77,204800,555440,1517,0.154036305
A718,204800,561820,3713,0.377018327
A389,204874,68000,8030,0.815366863
A390,204938,53088,20568,2.088476419
A30,205000,63585,24419,2.479507277
A389,205000,65860,6130,0.622440706
A82,205300,759400,4757,0.483026173
A718,205735,561004,3359,0.341073137
A389,205750,67070,8913,0.905026756
A389,205880,66750,6805,0.690980262
A3082,206000,52869,6491,0.659096676
A718,206000,560700,6172,0.62670539
A390,206007,53670,13179,1.338196748
A717,206035,560979,5503,0.558775074
A844,206100,667250,590,0.059908649
A77,206240,559750,5085,0.51633132
A77,206400,560400,2245,0.227957485
A717,206500,560916,4629,0.470029042
A77,206600,558085,4581,0.465155118
A77,206627,560800,2264,0.229886747
A77,206800,557200,2589,0.262887274
A4075,206811,215005,4043,0.410526554
A390,206876,54940,9341,0.948485911
A77,206880,561000,2269,0.230394447
A75,206991,560703,3314,0.336503834
A4075,207007,209936,1628,0.165307254
A389,207012,67152,14809,1.503707083
A886,207100,700000,451,0.045794577
A716,207140,557000,2028,0.205923287
A3082,207237,54000,2733,0.277509046
A77,207270,567300,2023,0.205415587
A886,207280,668900,350,0.035539029
A389,207331,67000,12118,1.230462721
A39,207600,80800,3889,0.394889381
A716,207800,556400,2346,0.238213034
A82,208000,758450,2949,0.299441704
A844,208000,657140,306,0.031071265
A389,208000,66600,7297,0.740937983
A389,208000,66840,7614,0.773126189
A77,208000,561600,2141,0.217397317
A77,208200,575320,1567,0.159113309
A716,208250,553700,1882,0.191098435
A38,208400,67700,6264,0.636047077
A38,208435,67000,5317,0.539888619
A844,208460,665000,3510,0.35640569
A38,208490,66500,4839,0.49135246
A83,208500,707150,1924,0.195363119
A30,208500,67950,5700,0.578778471
A75,208500,560910,5130,0.520900624
A861,208700,774000,109,0.011067869
A38,208793,66000,10378,1.053782977
A390,208800,59000,7755,0.78744334
A30,208900,66000,9503,0.964935405
A751,209000,562610,556,0.056456286
A40,209223,215849,6883,0.698900388
A3082,209258,53000,3908,0.396818643
A837,209670,923200,495,0.050262341
A832,209800,858540,558,0.056659366
A477,209837,205737,5911,0.600203428
A390,210000,59554,6717,0.682044735
A4115,210000,211700,2023,0.205415587
A30,210050,70255,13576,1.378508161
A82,210100,773900,6780,0.68844176
A819,210100,720000,966,0.09808772
A844,210640,662300,364,0.03696059
A716,210900,546500,932,0.094635357
A478,211400,210000,4355,0.44220706
A478,211483,204858,6614,0.671586106
A75,211700,559200,3935,0.399560225
A478,211794,214972,2938,0.298324763
A390,211913,60000,5927,0.601828069
A830,212120,776100,6795,0.689964861
A815,212200,707550,1120,0.113724892
A478,212500,222800,2404,0.244102359
A716,212570,540700,615,0.062447151
A4218,212654,200998,5953,0.604468112
A478,213000,201080,2200,0.223388182
A893,213000,894000,2382,0.241868477
A4139,213120,200450,2701,0.274259763
A77,213180,590100,1931,0.196073899
A4139,213471,200443,1683,0.170891959
A819,213500,727200,1038,0.105398606
A835,213800,900000,771,0.078287404
A890,214000,855750,618,0.062751771
A815,214450,686700,1133,0.115044914
A82,214900,777650,3972,0.403317208
A40,215000,216780,9073,0.921273169
A39,215000,88624,3782,0.384024592
A395,215000,87210,2802,0.284515311
A478,215200,227400,1832,0.186021431
A815,215300,681420,3780,0.383821512
A487,215400,240000,2296,0.23313603
A894,215600,943660,309,0.031375886
A82,215700,757150,2210,0.224403583
A487,216060,243560,2828,0.287155354
A815,216300,673990,2041,0.207243309
A885,216350,680000,3656,0.371230542
A83,217300,711260,4305,0.437130056
A885,217380,676790,3157,0.320562041
A885,217440,676990,4168,0.423219064
A815,217460,676860,4885,0.496023303
A478,217650,230000,1832,0.186021431
A487,217710,244870,2828,0.287155354
A478,218000,244370,2260,0.229480587
A835,218100,886100,1164,0.118192656
A487,218150,245450,6762,0.686614038
A77,218370,597700,3682,0.373870584
A77,218440,596740,4625,0.469622882
A815,218500,679200,1880,0.190895355
A77,218500,597200,2227,0.226129764
A477,218663,210426,5096,0.517448261
A77,218900,598440,6535,0.66356444
A478,219099,240116,2260,0.229480587
A78,219220,665100,6107,0.620105284
A880,219530,682000,488,0.04955156
A477,219800,211490,5096,0.517448261
A78,219900,671000,11141,1.13125806
A38,220000,64913,9962,1.011542303
A87,220000,810000,1503,0.152614744
A484,220000,245200,3424,0.347673243
A894,220000,946500,638,0.064782573
A837,220000,926100,327,0.033203607
A39,220000,97639,4688,0.476019907
A87,220000,807250,690,0.070062657
A395,220000,86780,3719,0.377627567
A78,220000,647800,6507,0.660721317
A40,220000,217340,9073,0.921273169
A75,220000,557110,2789,0.28319529
A77,220000,601750,5899,0.598984947
A78,220050,650300,6917,0.702352751
A78,220200,660000,7446,0.756067455
A714,220260,592100,778,0.078998184
A78,220650,659000,12559,1.275241897
A770,220700,676070,4018,0.407988052
A78,221000,657700,7388,0.75017813
A714,221200,584000,584,0.059299408
A387,221250,52000,1343,0.136368331
A835,221300,911200,353,0.035843649
A38,221459,65313,13736,1.394754574
A78,221580,645000,10643,1.080691099
A3072,221731,106000,11494,1.167101709
A3073,221898,105000,3250,0.330005268
A487,222000,248300,6029,0.612185158
A78,222320,673650,11130,1.130141119
A39,222450,106000,4196,0.426062187
A39,222550,106184,13549,1.375766579
A887,222600,810530,568,0.057674767
A770,222770,677000,6283,0.637976339
A738,223000,643200,5666,0.575326108
A894,223000,933150,577,0.058588628
A78,223210,674500,13413,1.361957128
A83,223400,707310,2690,0.273142822
A894,223440,924800,449,0.045591497
A747,223600,551800,720,0.073108859
A770,224000,677800,6089,0.618277563
A719,224000,609480,1342,0.136266791
A39,224420,110000,3545,0.359959593
A78,224615,675330,16786,1.704451826
A771,224650,677360,907,0.092096855
A5154,224680,382400,3117,0.316500437
A55,224770,381950,8507,0.863801483
A387,225000,55622,2424,0.24613316
A3072,225000,104918,5195,0.527500729
A387,225000,53603,6533,0.663361359
A738,225000,642300,6765,0.686918659
A477,225017,213304,5498,0.558267374
A837,225060,921800,674,0.068438016
A770,225200,677300,16883,1.714301214
A832,225300,861600,867,0.088035252
A5,225300,381740,2244,0.227855945
A387,225375,54000,7373,0.748655029
A838,225400,952230,353,0.035843649
A814,225500,686300,6479,0.657878195
A760,225600,657260,3270,0.33203607
A40,225751,216797,8965,0.91030684
A77,225900,608300,4337,0.440379338
A714,226400,580830,419,0.042545295
A78,226540,643580,14010,1.422576557
A817,226550,690430,1936,0.1965816
A78,226700,676000,13571,1.378000461
A814,226700,700000,492,0.049957721
A85,226900,730740,1493,0.151599343
A387,227000,58188,2323,0.235877612
A4066,227700,216300,2287,0.232222169
A40,227751,216118,14752,1.497919298
A738,228000,642500,19234,1.953021948
A814,228000,682960,7835,0.795566547
A719,228100,617640,1318,0.133829829
A5,228160,380000,6233,0.632899335
A78,228300,642550,26504,2.691218349
A387,228400,58000,1435,0.145710019
A55,228600,379110,7664,0.778203193
A8,228936,675655,29042,2.948927078
A738,229000,643100,8317,0.844508867
A82,229200,796900,2893,0.293755459
A737,229500,645980,6773,0.687730979
A30,229750,83530,15784,1.602708663
A82,229810,739800,1973,0.200338583
A818,229900,683100,9217,0.935894941
A737,229930,643650,7180,0.729057793
A484,230000,241069,2909,0.2953801
A4066,230000,210370,2187,0.222068161
A38,230000,60122,13551,1.375969659
A387,230000,57381,3505,0.355897989
A838,230000,956200,322,0.032695907
A390,230000,66643,4542,0.461195055
A3072,230000,105250,3466,0.351937926
A77,230000,609900,4953,0.502928029
A82,230000,737750,2260,0.229480587
A5,230000,378950,5332,0.54141172
A8,230000,675400,29042,2.948927078
A75,230061,561379,2389,0.242579257
A5025,230440,380000,4090,0.415298938
A760,230500,654350,3281,0.333153011
A484,230500,240490,2346,0.238213034
A814,230500,681920,6238,0.633407035
A497,230550,340000,1544,0.156777888
A475,230554,240590,1775,0.180233647
A475,230732,240440,4901,0.497647945
A83,230800,704280,3698,0.375495225
A475,230880,240700,1178,0.119614217
A55,231000,378960,11000,1.116940908
A737,231000,642600,8630,0.876290913
A737,231300,641700,7525,0.764089121
A737,231350,641950,2921,0.296598581
A737,231500,641680,10792,1.095820571
A737,231550,641000,10065,1.022000931
A82,231700,715500,2288,0.232323709
A5,231750,378400,978,0.099306201
A737,231800,640000,12445,1.263666328
A747,231800,546200,619,0.062853311
A499,231830,330000,2072,0.210391051
A4080,232000,373000,1513,0.153630145
A737,232000,638550,5958,0.604975812
A82,232120,720000,2414,0.245117759
A737,232130,637930,8833,0.896903549
A737,232180,639120,7487,0.760230598
A85,232300,730750,1645,0.167033436
A814,232400,680200,6880,0.698595768
A71,232400,638130,16592,1.68475305
A760,232500,655160,5344,0.542630201
A737,232520,637000,8480,0.8610599
A388,232766,84000,10743,1.090845107
A737,232800,651400,6869,0.697478827
A388,232932,85000,12434,1.262549387
A30,233000,83673,22497,2.284347238
A71,233010,638150,15653,1.589406913
A82,233070,732000,2032,0.206329448
A374,233140,58000,6879,0.698494228
A78,233140,637000,13806,1.40186238
A78,233220,639800,22703,2.305264495
A388,233300,84700,2514,0.255271768
A761,233300,674000,8466,0.859638339
A818,233300,684600,7606,0.772313868
A719,233340,621000,7897,0.801862032
A78,233450,635000,16845,1.710442691
A82,233500,803430,1868,0.189676874
A4080,233500,372770,2147,0.218006557
A759,233600,631120,7280,0.739211801
A719,233600,622000,9426,0.957116818
A760,233600,656600,5344,0.542630201
A70,233600,621400,7023,0.713116
A736,233620,640350,9869,1.002099075
A388,233665,84000,5541,0.562633598
A759,233700,633450,10764,1.092977449
A78,233760,633765,16845,1.710442691
A8,233900,674250,18931,1.922255303
A374,234000,57046,4569,0.463936637
A736,234000,641300,3885,0.394483221
A70,234050,621300,20247,2.055882052
A79,234100,622000,13512,1.372009596
A388,234100,86110,2554,0.259333371
A77,234200,616600,9219,0.936098021
A79,234200,620000,3311,0.336199213
A736,234260,642000,4229,0.429413009
A388,234355,103600,5201,0.52810997
A759,234425,632000,3420,0.347267082
A79,234500,623800,13957,1.417194933
A55,234500,377210,11735,1.191572869
A82,234600,697700,5070,0.514808219
A78,234650,632000,15596,1.583619128
A388,234654,83000,7276,0.738805641
A388,234776,80000,4913,0.498866426
A79,234790,618350,3178,0.322694382
A761,234900,671700,3786,0.384430753
A71,235000,637700,19600,1.990185619
A499,235000,334200,4664,0.473582945
A30,235000,84104,14683,1.490913033
A475,235000,241400,1178,0.119614217
A77,235000,618700,11518,1.169538671
A70,235000,621140,11715,1.189542067
A747,235000,541100,466,0.047317678
A388,235000,84450,1452,0.1474362
A4080,235000,370000,964,0.09788464
A713,235000,620000,10005,1.015908526
A719,235000,622500,14819,1.504722484
A79,235000,628400,16037,1.628398304
A759,235000,634610,5766,0.585480116
A736,235080,643000,3495,0.354882589
A835,235100,870400,1260,0.127940504
A78,235200,630000,19012,1.93048005
A82,235300,686600,7834,0.795465007
A713,235400,619380,9605,0.975292493
A388,235480,100000,2141,0.217397317
A4080,235500,374360,2543,0.25821643
A5,235500,377420,991,0.100626222
A736,235700,644200,3495,0.354882589
A77,235700,620000,17697,1.796954841
A8,235800,673950,19140,1.943477181
A70,235800,621010,11833,1.201523797
A75,236000,563150,2529,0.256794869
A78,236000,628730,20544,2.086039457
A737,236000,656520,6869,0.697478827
A388,236000,84848,1956,0.198612402
A388,236057,70000,6304,0.640108681
A82,236100,684200,13208,1.341141411
A82,236200,727400,4430,0.449822566
A30,236200,84760,14750,1.497716218
A713,236430,618500,2743,0.278524447
A831,236490,834000,517,0.052496223
A761,236500,667760,6765,0.686918659
A388,236500,85030,918,0.093213796
A719,236500,623220,14226,1.444509215
A4080,236510,376900,1976,0.200643203
A484,236656,240001,1549,0.157285588
A77,236740,622500,27856,2.82850054
A388,236810,85200,2292,0.232729869
A30,237000,85250,13294,1.349873858
A497,237050,335000,8601,0.87334625
A77,237140,628000,26995,2.741074529
A77,237300,624500,23178,2.353496034
A484,237595,231283,1558,0.158199449
A761,237800,666700,6765,0.686918659
A82,237910,682000,13208,1.341141411
A814,238000,675860,6776,0.6880356
A737,238000,659600,17288,1.755424948
A714,238100,570000,1063,0.107937108
A499,238360,336000,5463,0.554713471
